verified,reviewTime,reviewerID,asin,style,reviewText,summary,overall,day,month,year,sentiment,review_clean
False,2004-08-09,AXHY24HWOF184,B0007Y09VO,{'Format:': ' Paperback'},"crocheting for dummies by karen manthey & susan brittain is a wonderfully thorough and very informative book for anyone wanting to learn to crochet and or wanting to freshen up their skills.

the book reads like a storybook in paragraph form.  everything is explained in great detail from choosing yarns and hooks, to how to work a large array of crochet stitches, to how to read a pattern, right down to how to care for ones crocheted items.

the stitch drawings are clear and expertly done making learning new stitches so much easier.

the book has both a contents page and an index for easy referral.  i especially liked the fact that an index was included.  so many crochet books do not include this.  the index makes it very easy to find information on a particular topic quickly.

the recommendations for people just learning to crochet are fantastic.  this book wasn't out when i learned to crochet and i learned the hard way about many of the pit falls this book helps one to avoid.  for instance they recommend one start out with a size h-8 crochet hook and a light colored worsted weight yarn.  i learned with a b-1 hook and a fingering weight yarn.  after 2 whole days of crocheting it was 36"" long and 1.5"" tall.  i was trying to make a baby blanket for my doll (which never got made).

the book contains humor, not just in the cartoons but in the instructions as well which makes for very entertaining reading while one learns a new craft.  i always appreciate having a teacher with a sense of humor!

a good sampling of designs is included so that one can try out their skills.  these include sweaters, an afghan, doilies, hot pads, pillow, scarves, floral motifs, and bandanas.

i am a crochet designer and i read the book cover to cover like a storybook while on vacation this past week.  i thoroughly enjoyed it and learned a few things as well.  i would highly recommend this book to anyone interested in the art of crochet.",Terrific Book for Learning the Art of Crochet,5,9,8,2004,2,"crocheting for dummies by karen manthey  susan brittain is a wonderfully thorough and very informative book for anyone wanting to learn to crochet and or wanting to freshen up their skills

the book reads like a storybook in paragraph form  everything is explained in great detail from choosing yarns and hooks to how to work a large array of crochet stitches to how to read a pattern right down to how to care for ones crocheted items

the stitch drawings are clear and expertly done making learning new stitches so much easier

the book has both a contents page and an index for easy referral  i especially liked the fact that an index was included  so many crochet books do not include this  the index makes it very easy to find information on a particular topic quickly

the recommendations for people just learning to crochet are fantastic  this book wasnt out when i learned to crochet and i learned the hard way about many of the pit falls this book helps one to avoid  for instance they recommend one start out with a size h8 crochet hook and a light colored worsted weight yarn  i learned with a b1 hook and a fingering weight yarn  after 2 whole days of crocheting it was 36 long and 15 tall  i was trying to make a baby blanket for my doll which never got made

the book contains humor not just in the cartoons but in the instructions as well which makes for very entertaining reading while one learns a new craft  i always appreciate having a teacher with a sense of humor

a good sampling of designs is included so that one can try out their skills  these include sweaters an afghan doilies hot pads pillow scarves floral motifs and bandanas

i am a crochet designer and i read the book cover to cover like a storybook while on vacation this past week  i thoroughly enjoyed it and learned a few things as well  i would highly recommend this book to anyone interested in the art of crochet"
True,2017-04-06,A29OWR79AM796H,B0007Y09VO,{'Format:': ' Hardcover'},very helpful...,Four Stars,4,6,4,2017,2,very helpful
True,2017-03-14,AUPWU27A7X5F6,B0007Y09VO,{'Format:': ' Paperback'},easy to understand and a prompt service too,Five Stars,5,14,3,2017,2,easy to understand and a prompt service too
True,2017-02-14,A1N69A47D4JO6K,B0007Y09VO,{'Format:': ' Paperback'},my girlfriend use quite often,Four Stars,4,14,2,2017,2,my girlfriend use quite often
True,2017-01-29,AHTIQUMVCGBFJ,B0007Y09VO,{'Format:': ' Paperback'},arrived as described. very happy.,Very happy.,5,29,1,2017,2,arrived as described very happy
True,2017-01-04,A1J8LQ7HVLR9GU,B0007Y09VO,{'Format:': ' Kindle Edition'},love the dummies series.  never fails.,Love the Dummies Series,5,4,1,2017,2,love the dummies series  never fails
True,2017-01-02,ABVTZ63S6GOWF,B0007Y09VO,{'Format:': ' Paperback'},good book.,Five Stars,5,2,1,2017,2,good book
True,2016-12-21,A2HX9NFBXGSWRW,B0007Y09VO,{'Format:': ' Paperback'},just started reading it. love the charts & cautions.,Clear. Good reminders.,4,21,12,2016,2,just started reading it love the charts  cautions
True,2016-12-20,AP1TQR64HQRCI,B0007Y09VO,{'Format:': ' Paperback'},great  book,Four Stars,4,20,12,2016,2,great  book
True,2016-12-15,A37FC9MED20AO,B0007Y09VO,{'Format:': ' Paperback'},this is a very helpful book.,Five Stars,5,15,12,2016,2,this is a very helpful book
True,2016-11-22,A26EU1X4VDNT4Z,B0007Y09VO,{'Format:': ' Paperback'},excellent training book for beginners!,Five Stars,5,22,11,2016,2,excellent training book for beginners
True,2016-10-23,A3II49ZWIOZF92,B0007Y09VO,{'Format:': ' Paperback'},not really current.,Three Stars,3,23,10,2016,1,not really current
True,2016-09-26,A347LQX3G500YN,B0007Y09VO,{'Format:': ' Paperback'},excellent book glad it was available for purchase on amazon,Great crochet,5,26,9,2016,2,excellent book glad it was available for purchase on amazon
True,2016-07-20,A2FPOGMO1CCSUQ,B0007Y09VO,{'Format:': ' Paperback'},as described! thank you!,Four Stars,4,20,7,2016,2,as described thank you
True,2016-07-03,AL8FRAYQS43LI,B0007Y09VO,{'Format:': ' Paperback'},good reference book,Five Stars,5,3,7,2016,2,good reference book
True,2016-06-25,AHVLB4P706L86,B0007Y09VO,{'Format:': ' Paperback'},i have been crocheting for years and wanted a reference manual. it is good for that. it would be a good book for someone beginning to crochet too.,It is good for that,4,25,6,2016,2,i have been crocheting for years and wanted a reference manual it is good for that it would be a good book for someone beginning to crochet too
True,2016-06-24,AP609X3Z27XUH,B0007Y09VO,{'Format:': ' Paperback'},great for beginners and to have around as a reference refresher,great for beginners and to have around as a reference refresher,4,24,6,2016,2,great for beginners and to have around as a reference refresher
