verified,reviewTime,reviewerID,asin,style,reviewText,summary,overall,day,month,year,sentiment,review_clean
True,2015-02-04,A1JN8TZDMG8Y2F,B0007Y09VO,{'Format:': ' Paperback'},"i have never really used it. i don't really get these ""dummies"" books.",Dummies books make no sense to me.,2,4,2,2015,0,i have never really used it i dont really get these dummies books
True,2015-02-04,A2FZ9WX2OZALOL,B0007Y09VO,{'Format:': ' Paperback'},package arrived in the time frame that was guaranteed however the front cover i torn up. i love my books and this is a great annoyance to me.  if you purchase  just be prepared it may arrived damaged.,Arrived with cover damage,2,4,2,2015,0,package arrived in the time frame that was guaranteed however the front cover i torn up i love my books and this is a great annoyance to me  if you purchase  just be prepared it may arrived damaged
True,2014-11-05,ADEM1JPNOTCF0,B0007Y09VO,{'Format:': ' Kindle Edition'},this book is just okay. crochet step-by-step by sally harding is much better for the beginner. priscilla teitenberg,Crochet step-by-step by Sally Harding is much better for the beginner,2,5,11,2014,0,this book is just okay crochet stepbystep by sally harding is much better for the beginner priscilla teitenberg
True,2014-09-13,AJQE3PHADIPEX,B0007Y09VO,{'Format:': ' Kindle Edition'},"save yourself the oftalmologist's visit and buy the paperback. bad formatting and some things, plainly impossible to read. not recommended at all.",Don't Buy the Kindle Edition!,1,13,9,2014,0,save yourself the oftalmologists visit and buy the paperback bad formatting and some things plainly impossible to read not recommended at all
True,2013-02-22,A3BM4YBXXXCLFK,B0007Y09VO,{'Format:': ' Kindle Edition'},"this book was not what i thought, there should be more step by step pictures. i regret spending the money on it.",Not worth the money spent,1,22,2,2013,0,this book was not what i thought there should be more step by step pictures i regret spending the money on it
True,2013-02-03,A13BG4W1NFLM05,B0007Y09VO,{'Format:': ' Paperback'},"i was looking for  basic beginner help and better diagrams.
it wasn't as helpful as i was expecting since i am a beginner.
i would say this book would be for someone that has crocheted for some time.",Disappointed,1,3,2,2013,0,"i was looking for  basic beginner help and better diagrams
it wasnt as helpful as i was expecting since i am a beginner
i would say this book would be for someone that has crocheted for some time"
True,2011-01-01,AJHLC19X54UMM,B0007Y09VO,{'Format:': ' Paperback'},i purchased this book for my granddaughter who wanted to learn to crochet.  she lives out of town so i could not teach her.  i have crocheted for over 5o yrs and i found it difficult to follow let alone some one who can not crochet.,Hard for beginners,2,1,1,2011,0,i purchased this book for my granddaughter who wanted to learn to crochet  she lives out of town so i could not teach her  i have crocheted for over 5o yrs and i found it difficult to follow let alone some one who can not crochet
True,2009-12-03,A1VYZE8SUYU9B9,B0007Y09VO,{'Format:': ' Paperback'},"i thought this was going to be a good choice to learn crocheting, but i was disappointed.  the sketches - not photos - are very hard to read and the directions are unclear.  also, the writer keeps trying to be funny - and failing miserably - which is very annoying when all you want to do is learn.

skip this one if you want to become skilled at this craft.  i have had more success with another book i purchased after only eight days of purchasing it.",Dummy down,2,3,12,2009,0,"i thought this was going to be a good choice to learn crocheting but i was disappointed  the sketches  not photos  are very hard to read and the directions are unclear  also the writer keeps trying to be funny  and failing miserably  which is very annoying when all you want to do is learn

skip this one if you want to become skilled at this craft  i have had more success with another book i purchased after only eight days of purchasing it"
True,2009-09-15,A3SRR1TAWPN4BF,B0007Y09VO,{'Format:': ' Paperback'},"the illustrations are too confusing for someone who's never crocheted. you are first shown how to wrap the yarn around your hand and next you are told to make a loop resembling a pretzel but it shows the yarn coming directly off the ball. also, why is there a chapter on blocking, measuring stitches and rows, etc., before you're even taught your first loop stitch.",Sorry I bought this book!!,1,15,9,2009,0,the illustrations are too confusing for someone whos never crocheted you are first shown how to wrap the yarn around your hand and next you are told to make a loop resembling a pretzel but it shows the yarn coming directly off the ball also why is there a chapter on blocking measuring stitches and rows etc before youre even taught your first loop stitch
False,2009-05-22,AZ1JIGB8KJZ3T,B0007Y09VO,{'Format:': ' Paperback'},the book is not very easy to understand.  it is really complicated.  it soen't have a simple step by step method that i expected it would have.,crocheting for dummies,2,22,5,2009,0,the book is not very easy to understand  it is really complicated  it soent have a simple step by step method that i expected it would have
